testcaseId,$firstName,$lastName,$fatherName,$motherName,$guardianName,$idNumber,$rollNumber,$dateOfBirth,$dateOfJoin,$branchId,$standardId,$sectionId,$primaryPhoneNumber,$primaryEmailId,$alternatePhoneNumber,$secondaryEmailId,$gender
1,Izhar,Manoj,Devendra,Chintamani,Ekalinga,Vsk1,1,24-11-2002,24-05-2015,3,1,1,,,,,M
2,Jadhav,Manonith,Devesh,Chintan,Ekambar,Vsk2,2,24-11-2002,24-05-2015,3,1,1,,,,,F
3,Jag,Manoranjan,Deveshwar,Chinthanaichelvan,Ekana,Vsk3,3,24-11-2002,24-05-2015,3,1,1,,,,,M
4,Jagachandra,Manoth,Devilal,Chintya,Ekanath,Vsk4,4,24-11-2002,24-05-2015,3,1,1,,,,,F
5,Jagad,Manprasad,Deviprasad,Chirag,Ekanga,Vsk5,5,24-11-2002,24-05-2015,3,1,1,,,,,M
6,Jagadayu,Mansukh,Devnarayan,Chiranjeev,Ekansh,Vsk6,6,24-11-2002,24-05-2015,3,1,1,,,,,F
7,Jagadbandu,Manth,Devnath,Chirantan,Ekapad,Vsk7,7,24-11-2002,24-05-2015,3,1,1,,,,,M
8,Jagadeep,Manu,Devraj,Chirayu,Ekaraj,Vsk8,8,24-11-2002,24-05-2015,3,1,1,,,,,F
9,Jagadev,Manuj,Devya,Chirtrang,Ekatan,Vsk9,9,24-11-2002,24-05-2015,3,1,1,,,,,M
10,Jagadhidh,Manyu,Dhanajit,Chithayu,Eknath,Vsk10,10,24-11-2002,24-05-2015,3,1,1,,,,,F
11,Jagadip,Mardav,Dhananjay,Chitrabhanu,Ekram,Vsk11,11,24-11-2002,24-05-2015,3,1,1,,,,,M
12,Jagadish,Mareechi,Dhanesh,Chitragupta,Elango,Vsk12,12,24-11-2002,24-05-2015,3,1,1,,,,,F
13,Jagajeet,Markandeya,Dhanraj,Chitraksh,Elil,Vsk13,13,24-11-2002,24-05-2015,3,1,1,,,,,M
14,Jagajeevan,Martand,Dhansukh,Chitral,Elilarasan,Vsk14,14,24-11-2002,24-05-2015,3,1,1,,,,,F
15,Jagan,Martanda,Dhanvant,Chitrarath,Elilarasu,Vsk15,15,24-11-2002,24-05-2015,3,1,1,,,,,M
16,Jaganmay,Marut,Dharanidhar,Chitrasen,Elilvendan,Vsk16,1,24-11-2002,24-05-2015,3,1,2,,,,,F
17,Jagannath,Maruti,Dharendra,Chitresh,Ellu,Vsk17,2,24-11-2002,24-05-2015,3,1,2,,,,,M
18,Jagath,Matsendra,Dharma,Chitta,Elumalai,Vsk18,3,24-11-2002,24-05-2015,3,1,2,,,,,F
19,Jagesh,Mayank,Dharmachandra,Chittaprasad,Eshwar,Vsk19,4,24-11-2002,24-05-2015,3,1,2,,,,,M
20,Jagjeevan,Mayanka,Dharmadas,Chittaranjan,Etash,Vsk20,5,24-11-2002,24-05-2015,3,1,2,,,,,F
21,Jagmohan,Mayur,Dharmadev,Chittaswarup,Evyavan,Vsk21,6,24-11-2002,24-05-2015,3,1,2,,,,,M
