testcaseId,$firstName,$lastName,$fatherName,$motherName,$guardianName,$idNumber,$rollNumber,$dateOfBirth,$dateOfJoin,$branchId,$standardId,$sectionId,$primaryPhoneNumber,$primaryEmailId,$alternatePhoneNumber,$secondaryEmailId,$gender
1,Chintamani,Devendra,Bhooshit,Ekalinga,Ekalinga,Hyd181,181,24-11-2002,24-05-2015,1,4,1,,,,,M
2,Chintan,Devesh,Bhudev,Ekambar,Ekambar,Hyd182,182,24-11-2002,24-05-2015,1,4,1,,,,,F
3,Chinthanaichelvan,Deveshwar,Bhumi,Ekana,Ekana,Hyd183,183,24-11-2002,24-05-2015,1,4,1,,,,,M
4,Chintya,Devilal,Bhupathi,Ekanath,Ekanath,Hyd184,184,24-11-2002,24-05-2015,1,4,1,,,,,F
5,Chirag,Deviprasad,Bhupen,Ekanga,Ekanga,Hyd185,185,24-11-2002,24-05-2015,1,4,1,,,,,M
6,Chiranjeev,Devnarayan,Bhupendra,Ekansh,Ekansh,Hyd186,186,24-11-2002,24-05-2015,1,4,1,,,,,F
7,Chirantan,Devnath,Bhushan,Ekapad,Ekapad,Hyd187,187,24-11-2002,24-05-2015,1,4,1,,,,,M
8,Chirayu,Devraj,Bhuvan,Ekaraj,Ekaraj,Hyd188,188,24-11-2002,24-05-2015,1,4,1,,,,,F
9,Chirtrang,Devya,Bhuvanesh,Ekatan,Ekatan,Hyd189,189,24-11-2002,24-05-2015,1,4,1,,,,,M
10,Chithayu,Dhanajit,Bibek,Eknath,Eknath,Hyd190,190,24-11-2002,24-05-2015,1,4,1,,,,,F
11,Chitrabhanu,Dhananjay,Bibhas,Ekram,Ekram,Hyd191,191,24-11-2002,24-05-2015,1,4,1,,,,,M
12,Chitragupta,Dhanesh,Bibhavasu,Elango,Elango,Hyd192,192,24-11-2002,24-05-2015,1,4,1,,,,,F
13,Chitraksh,Dhanraj,Bijal,Elil,Elil,Hyd193,193,24-11-2002,24-05-2015,1,4,1,,,,,M
14,Chitral,Dhansukh,Bikram,Elilarasan,Elilarasan,Hyd194,194,24-11-2002,24-05-2015,1,4,1,,,,,F
15,Chitrarath,Dhanvant,Bilva,Elilarasu,Elilarasu,Hyd195,195,24-11-2002,24-05-2015,1,4,1,,,,,M
16,Chitrasen,Dharanidhar,Bimal,Elilvendan,Elilvendan,Hyd196,196,24-11-2002,24-05-2015,1,4,2,,,,,F
17,Chitresh,Dharendra,Bindusar,Ellu,Ellu,Hyd197,197,24-11-2002,24-05-2015,1,4,2,,,,,M
18,Chitta,Dharma,Bipin,Elumalai,Elumalai,Hyd198,198,24-11-2002,24-05-2015,1,4,2,,,,,F
