testcaseId,$firstName,$lastName,$fatherName,$motherName,$guardianName,$idNumber,$rollNumber,$dateOfBirth,$dateOfJoin,$branchId,$standardId,$sectionId,$primaryPhoneNumber,$primaryEmailId,$alternatePhoneNumber,$secondaryEmailId,$gender
1,Ekalinga,Bhooshit,Devendra,Chintamani,Ekalinga,Vjy1,1,24-11-2002,24-05-2015,2,1,1,,,,,M
2,Ekambar,Bhudev,Devesh,Chintan,Ekambar,Vjy2,2,24-11-2002,24-05-2015,2,1,1,,,,,F
3,Ekana,Bhumi,Deveshwar,Chinthanaichelvan,Ekana,Vjy3,3,24-11-2002,24-05-2015,2,1,1,,,,,M
4,Ekanath,Bhupathi,Devilal,Chintya,Ekanath,Vjy4,4,24-11-2002,24-05-2015,2,1,1,,,,,F
5,Ekanga,Bhupen,Deviprasad,Chirag,Ekanga,Vjy5,5,24-11-2002,24-05-2015,2,1,1,,,,,M
6,Ekansh,Bhupendra,Devnarayan,Chiranjeev,Ekansh,Vjy6,6,24-11-2002,24-05-2015,2,1,1,,,,,F
7,Ekapad,Bhushan,Devnath,Chirantan,Ekapad,Vjy7,7,24-11-2002,24-05-2015,2,1,1,,,,,M
8,Ekaraj,Bhuvan,Devraj,Chirayu,Ekaraj,Vjy8,8,24-11-2002,24-05-2015,2,1,1,,,,,F
9,Ekatan,Bhuvanesh,Devya,Chirtrang,Ekatan,Vjy9,9,24-11-2002,24-05-2015,2,1,1,,,,,M
10,Eknath,Bibek,Dhanajit,Chithayu,Eknath,Vjy10,10,24-11-2002,24-05-2015,2,1,1,,,,,F
11,Ekram,Bibhas,Dhananjay,Chitrabhanu,Ekram,Vjy11,11,24-11-2002,24-05-2015,2,1,1,,,,,M
12,Elango,Bibhavasu,Dhanesh,Chitragupta,Elango,Vjy12,12,24-11-2002,24-05-2015,2,1,1,,,,,F
13,Elil,Bijal,Dhanraj,Chitraksh,Elil,Vjy13,13,24-11-2002,24-05-2015,2,1,1,,,,,M
